(618, 182, 167, 450)
(618, 216, 348, 410)
(618, 254, 320, 482)
(619, 320, 373, 354)
(620, 141, 158, 375)
(620, 214, 167, 426)
(620, 276, 428, 219)
(620, 462, 304, 507)
(622, 220, 123, 345)
(622, 330, 335, 457)
(623, 387, 23, 71)
(623, 447, 78, 242)
(623, 591, 399, 292)
(624, 240, 342, 438)
(625, 310, 18, 12)
(625, 356, 131, 342)
(625, 524, 113, 343)
(625, 602, 452, 139)
(626, 272, 145, 402)
(627, 153, 53, 203)
(627, 511, 309, 480)
(628, 226, 177, 450)
(628, 251, 434, 220)
(628, 308, 368, 366)
(628, 478, 347, 383)
(629, 162, 41, 163)
(629, 349, 385, 322)
(629, 542, 312, 505)
(630, 230, 161, 428)
(630, 306, 400, 259)
(630, 389, 368, 355)
(631, 186, 122, 307)
(631, 310, 131, 344)
(631, 333, 321, 481)
(633, 92, 101, 278)
(633, 386, 415, 260)
(633, 430, 286, 523)
(634, 238, 158, 403)
(635, 570, 31, 118)
(636, 147, -1, 11)
(636, 651, 193, 534)
(637, 162, 75, 241)
(637, 455, 439, 184)
(637, 490, 312, 504)
(638, 159, 189, 473)
(640, 229, 161, 427)
(640, 231, 171, 428)
(640, 240, 411, 293)
(640, 419, 338, 483)
(641, 198, 174, 425)
(641, 441, 420, 271)
(642, 280, 140, 373)
(642, 285, 358, 392)
(643, 230, 22, 70)
(643, 235, 340, 437)
(643, 593, 339, 458)
(644, 222, 335, 484)
(645, 515, 52, 202)
(646, 157, 203, 534)
(647, 224, 164, 424)
(648, 158, 341, 411)
(648, 236, 311, 506)
(649, 316, 372, 356)
(650, 250, 43, 162)
(650, 538, 181, 428)
(651, 585, 25, 69)
(652, 104, 200, 514)
(652, 129, 210, 515)
(652, 263, 370, 323)
(652, 311, 351, 384)
(654, 156, 190, 513)
(654, 274, 355, 414)
(655, 474, 432, 221)
(656, 248, 52, 201)
(656, 515, 345, 412)
(657, 217, 167, 449)
(657, 236, 503, 43)
(657, 656, 341, 439)
(658, 353, 39, 117)
(658, 367, 77, 240)
(658, 450, 386, 324)
(658, 549, 391, 325)
(659, 394, 98, 277)
(659, 505, 444, 140)
(660, 194, 123, 341)
(660, 330, 175, 474)
(662, 293, -4, 9)
(662, 304, 114, 306)
(662, 354, 137, 372)
(662, 660, 367, 389)
(663, 541, 458, 141)
(664, 129, 200, 495)
(664, 618, 488, 91)
(665, 190, 177, 477)
(666, 599, 480, 92)
(668, 205, 503, 44)
(668, 423, 413, 261)
(668, 656, 329, 487)
(669, 104, 197, 471)
(669, 137, 210, 531)
(669, 421, 412, 294)
(670, 290, 362, 357)
(671, 290, 381, 358)
(671, 340, 362, 386)
(672, 82, 69, 239)
(672, 175, 183, 472)
(672, 470, 219, 516)
(673, 525, 9, 7)
(673, 625, 8, 10)
(673, 629, 48, 116)
(674, 135, 198, 497)
(675, 265, 463, 142)
(675, 553, 352, 385)
(676, 314, 126, 340)
(676, 315, 371, 387)
(676, 321, 371, 388)
(678, 237, 159, 423)
(679, 137, 197, 532)
(679, 480, 435, 185)
(680, 607, 16, 67)
(682, 92, 86, 276)
(682, 148, 229, 516)
(682, 425, 193, 533)
(683, 80, 219, 548)
(684, 145, 4, 8)
(684, 296, 136, 371)
(684, 639, 208, 497)
(685, 160, 29, 68)
(685, 481, 188, 470)
(685, 573, 435, 222)
(688, 153, 145, 370)
(688, 274, 191, 493)
(688, 361, 422, 262)
(688, 417, 411, 295)
(688, 447, 389, 329)
(689, 153, 50, 161)
(689, 488, 191, 494)
(689, 520, 438, 186)
(690, 154, 167, 447)
(690, 216, 191, 512)
(690, 528, 453, 143)
(692, 95, 239, 516)
(692, 102, 213, 530)
(692, 507, 472, 93)
(692, 578, 445, 194)
(693, 243, 156, 422)
(693, 338, 380, 326)
(694, 155, 218, 497)
(694, 388, 400, 296)
(695, 341, 381, 360)
(696, 546, 40, 200)
(697, 334, 379, 359)
(698, 257, 118, 305)
(698, 336, 121, 339)
(698, 343, 151, 397)
(698, 420, 412, 263)
(699, 75, 221, 549)
(700, 264, 148, 369)
(701, 390, 100, 275)
(702, 151, 192, 469)
(703, 562, 34, 115)
(704, 122, 203, 511)
(705, 387, 399, 327)
(706, 485, 63, 238)
(708, 113, 10, 65)
(708, 487, 207, 528)
(708, 622, 438, 187)
(709, 478, 28, 114)
(709, 523, 49, 160)
(709, 575, 434, 223)
(711, 328, 498, 45)
(711, 645, 376, 361)
(712, 304, 133, 399)
(712, 646, 499, 46)
(713, 353, 114, 304)
(713, 454, 425, 224)
(714, 234, 5, 6)
(714, 637, 160, 462)
(715, 237, 159, 421)
(716, 610, 485, 95)
(716, 644, 498, 97)
(718, 77, 199, 492)
(718, 133, 220, 529)
(718, 383, 433, 226)
(718, 475, 397, 328)
(719, 287, 139, 398)
(720, 200, 24, 159)
(720, 429, 173, 446)
(720, 586, 415, 265)
(723, 501, 57, 237)
(723, 568, 468, 94)
(724, 145, 166, 445)
(724, 218, 194, 491)
(724, 493, 440, 188)
(725, 406, 94, 274)
(725, 642, 497, 47)
(727, 219, 148, 396)
(727, 264, 166, 420)
(727, 498, 505, 98)
(727, 663, 442, 189)
(728, 153, 191, 467)
(728, 153, 191, 468)
(728, 460, 427, 227)
(729, 330, 123, 338)
(729, 430, 416, 266)
(730, 513, 448, 191)
(731, 490, 21, 158)
(731, 594, 61, 236)
(732, 561, 466, 145)
(734, 574, 29, 113)
(735, 415, 7, 3)
(735, 632, 410, 264)
(736, 142, 195, 466)
(737, 680, -12, 2)
(738, 652, 501, 49)
(739, 242, 44, 235)
(739, 535, 157, 419)
(740, 596, 16, 5)
(740, 608, 0, 63)
(740, 650, 21, 66)
(741, 350, 13, 4)
(741, 616, 115, 303)
(742, 118, 204, 509)
(743, 202, 172, 464)
(744, 320, 127, 316)
(744, 653, 501, 48)
(745, 112, 124, 337)
(745, 170, 184, 465)
(745, 327, 207, 527)
(746, 171, 134, 336)
(746, 300, 184, 490)
(747, 621, 489, 96)
(748, 542, 459, 147)
(750, 250, 10, 63)
(750, 660, 154, 368)
(751, 551, 462, 149)
(752, 128, 214, 509)
(754, 201, 20, 112)
(754, 597, 172, 443)
(754, 637, 495, 50)
(755, 548, 461, 148)
(756, 166, 160, 394)
(756, 233, 145, 460)
(756, 273, 186, 489)
(757, 135, 198, 525)
(758, 234, 160, 442)
(759, 273, 145, 413)
(760, 200, -18, 0)
(760, 622, 173, 444)
(760, 696, 489, 52)
(761, 432, 42, 234)
(761, 539, 84, 272)
(761, 548, 461, 146)
(762, 402, 95, 273)
(763, 293, 137, 367)
(764, 236, 152, 395)
(764, 255, 159, 416)
(766, 229, 162, 485)
(767, 145, 208, 525)
(767, 539, 458, 101)
(768, 240, 128, 334)
(768, 318, 158, 461)
(771, 213, 157, 418)
(771, 243, 168, 463)
(773, 590, 23, 157)
(774, 628, 492, 51)
(775, 411, 92, 300)
(776, 655, -2, 62)
(777, 266, 116, 302)
(777, 348, 148, 417)
(779, 218, 166, 486)
(781, 552, 463, 100)
(782, 298, 135, 335)
(783, 188, 146, 393)
(783, 271, 178, 488)
(785, 421, 102, 300)
(788, 323, 27, 111)
(788, 530, 46, 233)
(788, 580, 126, 364)
(796, 305, 133, 365)
(797, 241, 157, 415)
(798, 300, 24, 156)
(798, 586, 134, 391)
(799, 333, 122, 333)
(800, 510, 54, 231)
(806, 668, -7, 61)
(807, 437, 82, 270)
(809, 332, 67, 225)
(809, 476, 122, 363)
(812, 496, 59, 198)
(813, 343, 118, 332)
(814, 477, -2, 99)
(814, 654, 66, 190)
(815, 373, 106, 330)
(816, 436, 51, 232)
(816, 518, 82, 269)
(824, 650, 0, 59)
(825, 383, 31, 110)
(825, 414, 61, 230)
(825, 490, 91, 297)
(825, 568, 116, 330)
(828, 533, 45, 199)
(829, 319, 127, 362)
(831, 655, -2, 60)
(835, 434, 83, 267)
(837, 530, 46, 193)
(840, 461, 73, 229)
(841, 583, 26, 109)
(842, 392, 70, 228)
(842, 466, 99, 299)
(843, 534, 28, 152)
(843, 534, 44, 154)
(843, 576, 44, 155)
(844, 426, 86, 268)
(845, 396, 97, 298)
(848, 502, 57, 197)
(849, 520, 50, 196)
(853, 491, 30, 153)
(853, 572, 61, 195)
(856, 581, 26, 107)
(858, 579, 27, 103)
(860, 506, 37, 150)
(860, 553, 55, 192)
(861, 581, 26, 108)
(865, 619, 12, 53)
(870, 560, 34, 151)
(875, 596, 21, 104)
(875, 604, 17, 106)
(878, 626, 9, 54)
(879, 633, 6, 58)
(887, 604, 18, 105)
(888, 566, 10, 56)
(888, 624, 32, 102)
(890, 625, 9, 57)
(891, 613, 14, 55)
